,loss,accuracy,val_loss,val_accuracy
0,0.12317118793725967,0.17086666822433472,0.06186765804886818,0.1923000067472458
1,0.06185237690806389,0.1851833313703537,0.03936268761754036,0.19259999692440033
2,0.046458709985017776,0.1890166699886322,0.029294513165950775,0.1923000067472458
3,0.03935457020998001,0.19028332829475403,0.03073405846953392,0.19370000064373016
4,0.035553183406591415,0.19111666083335876,0.027775442227721214,0.1949000060558319
5,0.03190907835960388,0.19236665964126587,0.024285409599542618,0.19480000436306
6,0.029206886887550354,0.19224999845027924,0.028540967032313347,0.19460000097751617
7,0.027268841862678528,0.19245000183582306,0.02310176193714142,0.19480000436306
8,0.02655498869717121,0.1928499937057495,0.02140643820166588,0.19470000267028809
9,0.02540227398276329,0.19296666979789734,0.0343492291867733,0.1949000060558319
10,0.022970348596572876,0.19343332946300507,0.026934387162327766,0.1923000067472458
11,0.02148674987256527,0.19368332624435425,0.021634908393025398,0.19499999284744263
12,0.02262580581009388,0.19380000233650208,0.028308944776654243,0.19349999725818634
13,0.019679643213748932,0.19401666522026062,0.03078930638730526,0.19580000638961792
